Profit,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,1.000357709,0.99959119,0.999693393,1,1,1.000572334,1.000664316,0.999642291,1.000357709,0.999744494,0.656908665,1.000613215,1.000613215,0.999897798,1.000102202,1.000153304,0.24765808,1.000613215,0,-0.0005,-24.19926429,-93.17585302,0.001406249,1.000134141,21.74853901,-0.000121212,8.035712327,47.88010874,0.293179157,-0.094,-10058.81451,16.8102689,0,2.165418539,42.89955814,60,1,62.19942173,100000,0,50.47303257,-64.51612903,0.865546218,1.040473091,-8.724820901,0.26973096,0,17.38017089
0,1.000304987,0.999949169,1.000304987,1,1,1.000264322,1.000355818,0.999898338,0.999898338,1.000152493,0.276923077,1.000304987,1.000101662,0.999745845,0.999796676,1.000101662,1.461538462,1.000360901,0,0.0002,17.38481693,20.95238095,0.001068889,1.000031769,44.18516762,-7.27E-06,-0.32142862,53.03792401,6.990384615,-0.104,-27489.49509,23.72950422,-0.111111111,0.130582302,33.95650135,0,1,73.54836258,10000,0,62.39898269,-61.53846154,0.970588235,1.070719112,7.582240242,0.214420827,0,40.14173906
0,1.000101724,0.999643965,0.999745689,1,1,1.000406897,1.000203448,0.99928793,1.000101724,0.999745689,0.827037773,1.000686639,1.000101724,0.999389655,0.999643965,1.000101724,0.314612326,1.000951122,1,-0.0019,7.545885817,-13.93188854,0.001486703,0.999758405,30.2814199,-0.000196364,0.39215686,45.42572192,0.695203777,-0.265,-28319.50489,39.0257011,-0.625,1.026869228,32.68062694,0,1,53.93764549,150000,0,52.11110673,-46.51162791,0.835616438,1.496908454,-14.5151253,0.742411735,0,38.7622307
0,1.000254764,0.99964333,1.000101906,1,1,1.000927341,1.000458575,0.999847142,1.000203811,1.000152858,0.980952381,1.001105676,1.000305717,0.999286661,1.000101906,1.000152858,1.213095238,1.001278916,0,-0.0018,19.75046042,-82.26495726,0.001578564,1.000350301,19.80923552,-0.000253333,4.226190077,36.42195292,0.653521825,-0.135,-33815.63832,34.24142165,-0.64,1.62914611,35.04188038,0,1,55.3169818,160000,0,37.17979809,-68.18181818,0.843137255,0.780408269,-25.14319815,0,0,41.48699662
0,1.000051007,0.999897985,1.000051007,1,1,1.000056108,1.000102015,0.999897985,1.000102015,0.999897985,0.608695652,1.000112216,1.000102015,0.999897985,0.999897985,1.000051007,1.913043478,1.000142821,1,1.00E-04,-22.59713701,6.060606063,0.000621636,0.999948993,23.82745283,-2.97E-05,-0.158730303,47.83098043,0.885869565,-0.237,-39048.66354,19.96216272,-0.466666667,1.325153374,31.07142857,0,1,62.48230393,63000,1,38.40506565,-33.33333333,0.925925926,0.387615458,-8.067050832,0.912184883,1,21.97980924
0,1,0.99989799,0.99989799,1,1,1.000265225,1.00010201,0.999795981,1.000051005,0.999795981,1.583333333,1.000249923,1.00010201,0.999183923,1.00010201,1.000051005,26.33333333,0.999826584,0,0.0003,31.57764092,-34.1055341,0.000845668,1.00010201,24.17107855,-1.52E-05,1.160714232,48.73288075,7.583333333,-0.297,-39012.73326,42.57780279,-0.025641026,1.271062271,47.67383513,50,1,46.77852314,100000,0,38.13116842,-48.38709677,0.941860465,0.196532512,-4.697102956,0.24709743,0,36.82084568
1,1.000765775,0.999234225,0.99938738,1,1,1.000352256,1.00030631,0.999132122,1.000255258,0.999438432,0.511111111,1.000285889,1.00091893,1.000204207,1.000357362,1.000204207,0.643253968,0.999591587,1,0.0012,-25.20459228,17.52645503,0.001667816,1.000025526,49.56418877,0.000138182,0.024420033,60.74470219,0.374454365,0.114,-45809.71614,46.22309062,0.181818182,1.917781605,55.10229487,50,0,59.05770041,103000,0,63.22879085,-58.53658537,1.033333333,0.124187185,21.64972935,0.334059788,0,61.18179238
1,1.000152929,0.999541214,0.999694143,1,1,1.000183514,1.000050976,0.999541214,1,0.999541214,1.060913706,1.000168221,1.000560738,1,1.00040781,1,0.258883249,0.99969924,0,-1.00E-04,0.951012589,-23.41597796,0.001143458,1.000012744,14.67759343,-6.06E-06,0.252525258,50.27234511,0.515228426,-0.097,-43799.02127,21.23982784,0.15,1.500821018,55.05853225,80,1,66.66666667,30000,0,54.2358285,-55,0.955555556,1.78324202,-4.074867128,0.49327076,0,31.08888395
0,1.000101652,0.999085133,0.999491741,1,1,1.000111817,0.999593393,0.999034307,0.999237611,0.999440915,0.43975036,1.000152478,0.999898348,0.999135959,0.999542567,0.999237611,0.400864138,1.000238882,1,-0.0009,21.98417974,0.784313726,0.001655683,0.999580686,18.73468826,-0.000166667,-0.030721979,55.94076334,0.457363178,0.006,-38866.38647,30.00844903,-0.310344828,1.341468215,38.32257575,20,1,60.60538923,163000,1,55.38434052,-23.68421053,0.896551724,1.046295151,1.345023101,0.671459937,0,27.96437858
0,1.000650781,0.9997497,1.00015018,1,1,1.000665799,1.000700841,1,1.000700841,1.00015018,0.70212766,1.000635763,1.001301562,1.000400481,1.000901081,1.000500601,0.500425532,1.000220264,0,-0.0008,-43.22568502,-87.00209644,0.001123061,1.000431768,30.59689834,-1.64E-05,0.158008663,43.74707132,0.337765957,-0.169,-27373.13815,28.94641746,-0.254901961,2.173648294,67.2005509,80,1,50.71790402,100000,0,41.44879797,-83.87096774,0.979591837,1.447117317,-3.188702793,0,0,36.60358081
